subject,samples,macro_f1,balanced_accuracy,accuracy,hypo_windows,hyper_windows
c1s01,319,0.28031687995124926,0.36977491961414793,0.7210031347962382,8,0
c1s02,389,0.34153920415120526,0.5312144482366326,0.5681233933161953,0,96
c1s03,383,0.28188035543128115,0.3744275974356365,0.4464751958224543,4,62
c1s04,322,0.380080978088282,0.5242877492877493,0.39751552795031053,0,52
c1s05,412,0.2641915740525772,0.33941441441441444,0.5849514563106796,34,8
c2s01,443,0.35487086247786764,0.4092198581560284,0.582392776523702,20,47
c2s02,315,0.31695714405994774,0.41986341179889564,0.5301587301587302,93,0
c2s03,331,0.3295188983525503,0.33008658008658004,0.6646525679758308,2,77
c2s04,471,0.16239671740429337,0.42531272994849156,0.28662420382165604,8,10
c2s05,459,0.2722277722277722,0.37046004842615016,0.6209150326797386,39,7
