subject,accuracy,balanced_accuracy,macro_f1,hypo_precision,hypo_recall,hypo_f1,hypo_n,normal_precision,normal_recall,normal_f1,normal_n,hyper_precision,hyper_recall,hyper_f1,hyper_n
c1s01,0.5527306967984934,0.3207150335280121,0.29455150175113104,0.06862745098039216,0.12173913043478261,0.0877742946708464,115,0.8703703703703703,0.6016,0.7114474929044465,1875,0.05128205128205128,0.23880597014925373,0.08443271767810026,134
c1s02,0.6408179012345679,0.3343439881268829,0.34382331184273734,0.0,0.0,0.0,7,0.7414965986394558,0.8112706007442849,0.7748159431327748,1881,0.3879310344827586,0.19176136363636365,0.25665399239543724,704
c1s03,0.5337254901960784,0.32542210777298197,0.3219658610859258,0.026737967914438502,0.05813953488372093,0.03663003663003663,86,0.7420560747663552,0.6291600633914421,0.6809605488850772,1893,0.21767810026385223,0.28896672504378285,0.24830699774266365,571
c1s04,0.558041958041958,0.41155587097205154,0.3146836622246459,0.007874015748031496,0.3333333333333333,0.015384615384615385,3,0.7293796864349011,0.6759317751105496,0.7016393442622951,1583,0.22867513611615245,0.22540250447227192,0.22702702702702704,559
c1s05,0.29653916211293263,0.2821006751292947,0.16333552524698094,0.011363636363636364,0.018518518518518517,0.014084507042253521,108,0.9433962264150944,0.306044376434583,0.4621606008087811,2614,0.006972690296339338,0.5217391304347826,0.013761467889908258,23
c2s01,0.5296912114014252,0.33986878167566864,0.310108791242836,0.017421602787456445,0.045871559633027525,0.025252525252525252,109,0.8429602888086642,0.5711373827965757,0.6809234507897934,2453,0.15531062124248496,0.4025974025974026,0.22415039768618944,385
c2s02,0.5295519542421354,0.2628870586477559,0.2675295717282569,0.06989247311827956,0.1111111111111111,0.0858085808580858,117,0.8705035971223022,0.5752773375594294,0.6927480916030534,1893,0.01361573373676248,0.10227272727272728,0.02403204272363151,88
c2s03,0.7465940054495913,0.3266605940726019,0.3251585623678647,0.011299435028248588,0.046511627906976744,0.01818181818181818,43,0.8541337546076883,0.8604774535809019,0.857293868921776,1885,0.15873015873015872,0.072992700729927,0.1,274
c2s04,0.38292449824784963,0.32164238650492943,0.25584995289872897,0.02588235294117647,0.10576923076923077,0.04158790170132325,104,0.8190082644628099,0.37838869797632685,0.5176286236615304,2619,0.13297872340425532,0.4807692307692308,0.20833333333333334,416
c2s05,0.6347285807717462,0.35642063572402427,0.29570364748072336,0.034482758620689655,0.01485148514851485,0.020761245674740483,202,0.901187648456057,0.6915785636164783,0.7825907590759076,2743,0.04734411085450346,0.36283185840707965,0.08375893769152196,113
